alpha,angular_err_mean,angular_err_median,angular_err_p90,angular_err_p95,yaw_err_mean,yaw_err_median,yaw_err_p95,pitch_err_mean,pitch_err_median,pitch_err_p95,top1_acc@5deg,top5_acc@5deg,top1_acc@10deg,top5_acc@10deg
0.0,4.307361211106936,4.829526401830534,6.538687182155923,8.393253993171543,4.490929285449833,5.0,10.0,2.0085153646797482,0.0,5.0,0.8130322102924843,0.9914846353202518,0.9759348389485376,1.0
0.05,4.271081349799638,4.829526401830534,6.379960616353022,8.188093361865063,4.42428730099963,5.0,10.0,1.967789707515735,0.0,5.0,0.8200666419844502,0.9929655683080341,0.9770455386893743,1.0
0.1,4.199635964983522,4.829526401830534,6.209279103251832,7.57659560387564,4.333580155497963,5.0,10.0,1.9252128841169938,0.0,5.0,0.8271010736764162,0.9940762680488708,0.980007404664939,1.0
0.15000000000000002,4.162192147422963,4.829526401830534,6.209279103251715,7.066574389261542,4.296556830803406,5.0,10.0,1.9085523880044428,0.0,5.0,0.8326545723805998,0.9940762680488708,0.9825990373935579,1.0
0.16,4.160661146587148,4.829526401830534,6.209279103251715,7.066574389261542,4.29285449833395,5.0,10.0,1.904850055534987,0.0,5.0,0.8337652721214365,0.9940762680488708,0.9825990373935579,1.0
0.17,4.152341347206276,4.829526401830534,6.031043738974251,7.066574389261542,4.289152165864494,5.0,10.0,1.8937430581266197,0.0,5.0,0.8359866716031099,0.9944465012958164,0.9829692706405035,1.0
0.18,4.149139339382769,4.829526401830534,6.03104373897419,7.066574389261542,4.291003332099223,5.0,10.0,1.8863383931877082,0.0,5.0,0.8363569048500555,0.9944465012958164,0.9829692706405035,1.0
0.19,4.134800867054069,4.829526401830534,6.03104373897419,7.0397014191753895,4.253980007404665,5.0,10.0,1.8733802295446131,0.0,5.0,0.8393187708256201,0.994816734542762,0.9833395038874491,1.0
0.2,4.123779266109323,4.829526401830458,6.03104373897419,7.0397014191753895,4.25027767493521,5.0,10.0,1.8659755646057017,0.0,5.0,0.8407997038134024,0.994816734542762,0.9840799703813402,1.0
0.21,4.124163011262673,4.829526401830458,6.03104373897419,7.0397014191753895,4.24102184376157,5.0,10.0,1.8678267308404295,0.0,5.0,0.8415401703072936,0.994816734542762,0.9844502036282858,1.0
0.22,4.114675496431105,4.829526401830458,5.850231686739046,7.039701419175338,4.237319511292114,5.0,10.0,1.8567197334320622,0.0,5.0,0.8441318030359126,0.994816734542762,0.9848204368752314,1.0
0.23,4.107754178925079,4.829526401830458,5.850231686739046,6.986471244557712,4.222510181414291,5.0,10.0,1.860422065901518,0.0,5.0,0.8456127360236949,0.994816734542762,0.985190670122177,1.0
0.24,4.101725475041044,4.829526401830534,5.850231686738984,6.986471244557659,4.196593854128101,5.0,10.0,1.860422065901518,0.0,5.0,0.8463532025175861,0.994816734542762,0.9859311366160681,1.0
0.25,4.134204755522511,4.829526401830534,5.850231686738984,6.986471244557659,4.224361347649019,5.0,10.0,1.8567197334320622,0.0,5.0,0.8470936690114772,0.9951869677897075,0.9859311366160681,1.0
0.30000000000000004,4.3194847914284376,4.829526401830458,5.850231686738984,6.986471244557607,4.420584968530174,5.0,10.0,1.8326545723805998,0.0,5.0,0.8522769344687153,0.9955572010366531,0.9844502036282858,1.0
0.35000000000000003,4.438448948780794,4.698288590043869,5.730875725790519,6.986471244557607,4.577934098482044,5.0,10.0,1.7974824139207701,0.0,5.0,0.8552388004442799,0.9962976675305443,0.9844502036282858,1.0
0.4,4.658248740646631,4.698288590043869,5.672351060860062,6.986471244557607,4.783413550536838,5.0,10.0,1.7974824139207701,0.0,5.0,0.8596815994076268,0.9966679007774898,0.9840799703813402,1.0
0.45,4.651548193901185,4.698288590043869,5.503343818223463,6.805610075160859,4.800074046649389,5.0,10.0,1.7734172528693077,0.0,5.0,0.8637541651240281,0.9962976675305443,0.9863013698630136,1.0
0.5,4.653889180286263,4.698288590043869,5.430391802482024,6.805610075160859,4.8093298778230285,5.0,5.0,1.7493520918178453,0.0,5.0,0.8696778970751573,0.9962976675305443,0.9859311366160681,1.0
0.55,4.622453475727489,4.698288590043869,5.216757923460039,6.681646529003894,4.7389855609033695,5.0,5.0,1.7493520918178453,0.0,5.0,0.8756016290262866,0.9966679007774898,0.9874120696038504,1.0
0.6000000000000001,4.601168603535555,4.698288590043869,5.216757923460039,6.681646529003894,4.6945575712699,5.0,5.0,1.7512032580525732,0.0,5.0,0.8785634950018512,0.9970381340244354,0.9888930025916327,1.0
0.65,4.58648247880574,4.698288590043792,5.111196737263879,6.681646529003894,4.6612365790447985,5.0,5.0,1.7400962606442059,0.0,5.0,0.8822658274713069,0.9966679007774898,0.9896334690855239,1.0
0.7000000000000001,4.551626176896488,4.698288590043792,5.111196737263879,6.538687182155923,4.577934098482044,5.0,5.0,1.7623102554609404,0.0,5.0,0.8852276934468716,0.9974083672713809,0.9896334690855239,1.0
0.75,4.540277944842973,4.698288590043869,5.111196737263879,6.538687182155923,4.537208441318031,5.0,5.0,1.7771195853387634,0.0,5.0,0.8863383931877082,0.9974083672713809,0.9914846353202518,1.0
0.8,4.601399816133446,4.698288590043869,5.111196737263879,6.423083528454371,4.507589781562384,5.0,5.0,1.8271010736764162,0.0,5.0,0.8896704924102184,0.9966679007774898,0.9918548685671973,1.0
0.8500000000000001,4.653213456447888,4.698288590043869,5.111196737263879,6.379960616353022,4.592743428359867,5.0,5.0,1.8567197334320622,0.0,5.0,0.8911514253980007,0.9959274342835986,0.9918548685671973,0.9992595335061089
0.9,4.809602976320123,4.698288590043947,5.111196737263879,6.681646529003894,4.655683080340615,5.0,5.0,2.0621991854868567,0.0,5.0,0.8844872269529804,0.9933358015549797,0.9888930025916327,0.9985190670122177
0.9500000000000001,5.8333902770152966,4.923991616867513,5.349413620715984,7.039701419175338,5.799703813402443,5.0,5.0,2.34727878563495,0.0,5.0,0.8670862643465383,0.9863013698630136,0.9796371714179933,0.9970381340244354
1.0,12.275248823532642,4.999999999999992,9.999999999999975,85.0,16.40688633839319,5.0,180.0,3.607922991484635,5.0,5.0,0.7741577193631988,0.9737134394668642,0.9163272861902999,0.9918548685671973
